읍면동,아파트,세대수,입주년월,Apt_name,number,floor,confirm_date,car,FAR,BC,con,heat,code,lat,long,type_capacity1,area1,room1,toilet1,structure1,n_this_area1,type_capacity2,area2,room2,toilet2,structure2,n_this_area2,type_capacity3,area3,room3,toilet3,structure3,n_this_area3,type_capacity4,area4,room4,toilet4,structure4,n_this_area4,type_capacity5,area5,room5,toilet5,structure5,n_this_area5,type_capacity6,area6,room6,toilet6,structure6,n_this_area6,type_capacity7,area7,room7,toilet7,structure7,n_this_area7,type_capacity8,area8,room8,toilet8,structure8,n_this_area8,type_capacity9,area9,room9,toilet9,structure9,n_this_area9,type_capacity10,area10,room10,toilet10,structure10,n_this_area10
성수동1가,동아,80,1983.08,성수동아그린,331세대(총2개동),9층/18층,1999년 06월 11일,375대(세대당 1.13대),279%,27%,동아건설(주),"개별난방, 도시가스",552,37.550802,127.04822,75㎡,75.55㎡/58.32㎡(전용률 77%),3개,1개,복도식,136세대,109A㎡,109.98㎡/84.89㎡(전용률 77%),3개,2개,복합식,10세대,110B㎡,110.01㎡/84.91㎡(전용률 77%),3개,2개,복합식,137세대,145㎡,145.22㎡/112.09㎡(전용률 77%),4개,2개,복합식,48세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,동아그린,136,1998.08,성수동아그린,331세대(총2개동),9층/18층,1999년 06월 11일,375대(세대당 1.13대),279%,27%,동아건설(주),"개별난방, 도시가스",552,37.550802,127.04822,75㎡,75.55㎡/58.32㎡(전용률 77%),3개,1개,복도식,136세대,109A㎡,109.98㎡/84.89㎡(전용률 77%),3개,2개,복합식,10세대,110B㎡,110.01㎡/84.91㎡(전용률 77%),3개,2개,복합식,137세대,145㎡,145.22㎡/112.09㎡(전용률 77%),4개,2개,복합식,48세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,동양메이저,49,2001.08,성수동양,142세대(총2개동),11층/19층,2001년 08월 29일,153대(세대당 1.07대),310%,21%,동양메이저(주),"개별난방, 도시가스",8176,37.537739,127.046191,80㎡,80.27㎡/59.9㎡(전용률 75%),3개,1개,복도식,49세대,107㎡,107.43㎡/84.95㎡(전용률 79%),3개,2개,복도식,74세대,112㎡,112.77㎡/84.14㎡(전용률 75%),3개,2개,복도식,19세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,동인샤인빌,44,2003.01,동인샤인빌,68세대(총1개동),11층/12층,2003년 01월 30일,59대(세대당 0.86대),226%,23%,(주)동인건설,"개별난방, 도시가스",9173,37.545028,127.017581,72㎡,72.95㎡/57.16㎡(전용률 78%),3개,2개,계단식,44세대,99㎡,99.19㎡/82.9㎡(전용률 84%),3개,2개,계단식,24세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동3가,두산,335,1993.12,두산,1267세대(총16개동),13층/15층,1994년 09월 16일,712대(세대당 0.56대),249%,21%,두산건설(주),"개별난방, 도시가스",547,37.550686,127.016443,82㎡,82.29㎡/59.97㎡(전용률 73%),2개,1개,복도식,335세대,96㎡,96.92㎡/79.08㎡(전용률 82%),3개,1개,복도식,270세대,104㎡,104.52㎡/84.99㎡(전용률 81%),3개,2개,복도식,265세대,136㎡,136.35㎡/116.81㎡(전용률 86%),4개,2개,계단식,267세대,144㎡,144.3㎡/124.19㎡(전용률 86%),4개,2개,계단식,78세대,145S㎡,145.16㎡/124.98㎡(전용률 86%),4개,2개,계단식,52세대,,,,,,,,,,,,,,,,,,,,,,,,
금호동1가,두산위브,50,2006.03,신금호두산위브,169세대(총5개동),5층/15층,2006년 03월 31일,-,243%,23%,두산산업개발(주),"개별난방, 도시가스",17512,37.556144,127.022698,79B㎡,79.34㎡/59.92㎡(전용률 76%),3개,2개,계단식,15세대,79A㎡,79.35㎡/59.91㎡(전용률 76%),3개,2개,계단식,10세대,109C㎡,109.11㎡/84.33㎡(전용률 77%),3개,2개,계단식,50세대,109A㎡,109.11㎡/84.32㎡(전용률 77%),3개,2개,계단식,29세대,109B㎡,109.11㎡/84.32㎡(전용률 77%),3개,2개,계단식,27세대,113㎡,113.29㎡/84.12㎡(전용률 74%),3개,2개,계단식,15세대,143㎡,143.44㎡/116.79㎡(전용률 81%),4개,2개,계단식,23세대,,,,,,,,,,,,,,,,,,
성수동1가,뚝섬현대,99,1992.01,뚝섬현대,99세대(총1개동),8층/15층,1992년 01월 22일,-,199%,-,현대건설(주),"개별난방, 도시가스",555,37.547754,127.048983,101㎡,101.34㎡/84.22㎡(전용률 83%),3개,2개,계단식,99세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,래미안옥수리버젠,554,2012.12,래미안옥수리버젠,1511세대(총15개동),9층/20층,2012년 12월 28일,1920대(세대당 1.27대),238%,22%,삼성물산㈜,"개별난방, 도시가스",100692,37.544911,127.013841,79B㎡,79.43㎡/59.25㎡(전용률 75%),3개,2개,계단식,554세대,79C㎡,79.46㎡/59.84㎡(전용률 75%),3개,2개,계단식,100세대,80A㎡,80.37㎡/59.98㎡(전용률 75%),3개,2개,계단식,37세대,80D㎡,80.17㎡/59.97㎡(전용률 75%),3개,2개,계단식,9세대,110C㎡,110.73㎡/84.51㎡(전용률 76%),3개,2개,계단식,20세대,111B㎡,111.2㎡/84.81㎡(전용률 76%),3개,2개,계단식,320세대,111A㎡,111.59㎡/84.73㎡(전용률 76%),3개,2개,계단식,260세대,148A㎡,148.38㎡/113.52㎡(전용률 77%),4개,2개,계단식,100세대,149B㎡,149.13㎡/113.74㎡(전용률 76%),4개,2개,계단식,39세대,174㎡,174.62㎡/134.13㎡(전용률 77%),4개,2개,계단식,72세대
금호동2가,래미안하이리버,76,2012.05,래미안하이리버,847세대(총10개동),15층/20층,2012년 05월 18일,1027대(세대당 1.21대),248%,20%,삼성물산(주),"개별난방, 도시가스",27575,37.551092,127.025129,84C㎡,84.55㎡/59.98㎡(전용률 71%),3개,2개,계단식,40세대,85A㎡,85.02㎡/59.99㎡(전용률 71%),3개,2개,계단식,242세대,85B㎡,85.02㎡/59.99㎡(전용률 71%),3개,2개,계단식,76세대,108C㎡,108.61㎡/84.97㎡(전용률 78%),3개,2개,계단식,36세대,110A㎡,110.73㎡/84.98㎡(전용률 77%),3개,2개,계단식,189세대,110D㎡,110.29㎡/84.99㎡(전용률 77%),3개,2개,계단식,112세대,110B㎡,110.29㎡/84.99㎡(전용률 77%),3개,2개,계단식,40세대,149㎡,149.92㎡/114.32㎡(전용률 76%),4개,2개,계단식,112세대,,,,,,,,,,,,
금호동4가,롯데,226,2003.01,롯데,249세대(총3개동),14층/24층,2003년 01월 09일,284대(세대당 1.14대),298%,20%,롯데건설(주),"개별난방, 도시가스",9213,37.546935,127.017183,114A㎡,114.64㎡/84.99㎡(전용률 74%),3개,2개,계단식,226세대,114B㎡,114.79㎡/84.89㎡(전용률 74%),3개,2개,계단식,23세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
